"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"The Sporting Shoppe","4.4","116","1 Preserve Blvd","Richmond","Rhode Island","US","https://thesportingshoppe.com/","(401) 247-4867","Hunting club","Archery range","Fishing store","Gun shop","Shooting range","Taxidermist","Training center",,,,,"https://www.google.com/maps/search/?api=1&query=The%20Sporting%20Shoppe&query_place_id=ChIJZ2oooM7F5YkR_1BaNgkHB6w","Hunting club"
"Tyler Sims Outfitting LLC","4.7","27","958 WY-13","McFadden","Wyoming","US","http://www.tylersims.com/","(307) 378-2400","Hunting area","Entertainment and recreation","Hunting club","Sporting goods store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tyler%20Sims%20Outfitting%20LLC&query_place_id=ChIJ9ypQl_LBZ4cRZli2r-vAZx0","Hunting area"
"Seven J Outfitters","4.2","37","184 Miller Creek Rd","Sundance","Wyoming","US","http://www.sevenjoutfitters.com/","(307) 283-3443","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seven%20J%20Outfitters&query_place_id=ChIJtWslDbMbM1MRTLbIhjy-mCc","Hunting club"
"Skyline Outfitters LLC","5","61","1311 Heald Rd","Weston","Wyoming","US","http://skyline-outfitters.com/","(307) 682-1546","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skyline%20Outfitters%20LLC&query_place_id=ChIJQcDKvxubM1MRehoi4y3Es3E","Hunting club"
"Cabela's","4.5","2942","44 Highland Cmns E","Hudson","Massachusetts","US","https://stores.cabelas.com/us/ma/hudson/44-highland-common.html?y_source=1_Mzk4Njc2My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(978) 212-6200","Clothing store","Ammunition supplier","Boat accessories supplier","Camping store","Canoe & kayak store","Sporting goods store","Fishing store","Gun shop","Hunting store","Outdoor sports store",,"https://www.google.com/maps/search/?api=1&query=Cabela's&query_place_id=ChIJ-WnY3iTz44kR4lzjaOzpvaM","Clothing store"
"Cabela's","4.4","5195","100 Cabela Blvd","Scarborough","Maine","US","https://stores.cabelas.com/us/me/scarborough/100-cabelas-blvd.html?y_source=1_Mzk4NjczMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(207) 883-7400","Clothing store","Ammunition supplier","Boat accessories supplier","Camping store","Canoe & kayak store","Sporting goods store","Fishing store","Gun shop","Hunting store","Outdoor sports store",,"https://www.google.com/maps/search/?api=1&query=Cabela's&query_place_id=ChIJE3ArPIuYskwRGlZRqsOzMsc","Clothing store"
"Big Horn Outfitters","4.7","15","181 US-16 East","Buffalo","Wyoming","US","http://www.bighornoutfitters.com/","(307) 620-0390","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Big%20Horn%20Outfitters&query_place_id=ChIJ7VloMyd3NVMRoC1e3lRODaY","Hunting club"
"Lone Tree Outfitters WY","5","4","18177 WY-220","Casper","Wyoming","US","http://lonetreeoutfitterswyo.com/","(307) 797-4432","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lone%20Tree%20Outfitters%20WY&query_place_id=ChIJZxEEf8sBXocRu_uTyiraM6E","Hunting club"
"Wyoming Edge Outfitters","5","3","100 Mule Creek Rd","Hulett","Wyoming","US","http://wyomingedgeoutfitters.com/","(307) 467-5663","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wyoming%20Edge%20Outfitters&query_place_id=ChIJaWGHeHqlM1MRiMIwY2qSQFk","Hunting area"
"Wyoming Upland Outfitters","5","5","22450 WY-487","Casper","Wyoming","US","http://www.wyominguplandoutfitters.com/","(307) 377-4868","Hunting area","Lodge","Hunting club","Hunting preserve",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wyoming%20Upland%20Outfitters&query_place_id=ChIJX7xXRrZVZ4cRTf6i4TOH1pE","Hunting area"
